1.5445427266	0.1047197551	1.5531654476	1.0974630337
1.9424777961	0.1570796327	1.9667113091	1.5079644737
2.5079644737	0.2094395102	2.5180018111	1.4744541521
3.3038346126	0.2617993878	3.2624308692	2.6703537556
4.2672563597	0.3141592654	4.2834210946	2.5886723466
5.6914450294	0.3665191429	5.7102094603	3.1667253948
7.5345127195	0.4188790205	7.7496933509	3.6023595761
8.833037683	0.4450589593	9.0988049034	5.6789523201
10.4247779608	0.471238898	10.7461312199	11.9506184543
28.8554548618	0.4974188368	12.7752881093	15.6786417365
